hunk	file	summary	angles
H1	sdk framework/src/{module-system,events}/* + module.ts + stores.ts + store-kit.ts (new, moved)	meta-framework core moved body-preserved; only @/ specifiers rewritten relative; SlotKey conditional + entries cast for empty-Slots standalone compile	equivalence(F2-01),declaration-merge-boundary(F2-03),domain-agnostic(F2-04),standalone-compile(F2-06)
H2	sdk framework/src/overrides/* (new, moved)	desktop UI-override seam + UIOverrides interface moved byte-identical (already relative-imported)	equivalence(F2-01),declaration-merge-boundary(F2-03),api-surface(F2-07)
H3	sdk framework/src/sync/{SyncClient,connection,index}.ts (new, moved)	realtime sync client moved; generated SyncEvent replaced by a framework-local generic {entity,action,id}; sync:reconnect emit cast for empty AppEvents	equivalence(F2-01),generated-types-interface(F2-02),declaration-merge-boundary(F2-03),security(F2-09)
H4	sdk framework/src/api-client/core.ts (new, moved)	transport genericized: callAsync<TResponse>(url:string,params:any); ResponseByUrl casts→TResponse; String(value) query encode	generated-types-interface(F2-02),equivalence(F2-01),security(F2-09)
H5	sdk framework/src/api-client/{core.ts base-url block, index.ts factory} (new)	createApiClient<TClient>(endpoints) generic factory + setBaseUrlResolver DI + transport re-exports	generated-types-interface(F2-02),base-url-DI(F2-05),api-surface(F2-07)
H6	sdk framework/{src/index.ts,src/env.d.ts,package.json,tsconfig.json} (new)	top barrel + import.meta.env shim + package infra (exports/deps/paths)	build-hygiene(F2-10),standalone-compile(F2-06),api-surface(F2-07)
H7	ziee ui/src + desktop/ui/src (~600 files edited)	@/core/* → @ziee/framework/*, @/api-client/{core,sse-types} → @ziee/framework/api-client/*, incl. declare-module specifiers (both @/ and relative forms)	import-rewrite-correctness(F2-08),declaration-merge-boundary(F2-03),api-surface(F2-07)
H8	ziee ui/src/api-client/index.ts + ui/src/index.ts + {ui,desktop/ui}/tsconfig.json + package.json	thin per-app ApiClient binding (createApiClient<ApiClientType>), @ziee/ui-core barrel repoint, framework paths + workspace dep	generated-types-interface(F2-02),base-url-DI(F2-05),build-hygiene(F2-10),api-surface(F2-14)
H9	ziee ui/src/core/{permissions,components,sync/types.ts} (stay app-side)	identity/generated-type-coupled subset kept app-side; only consumed @/core/* specifiers rewritten to @ziee/framework/*	domain-agnostic(F2-04),declaration-merge-boundary(F2-13),equivalence(F2-01)
H10	ziee api-client/types.ts (unchanged)	generated types byte-identical to baseline; wire-irrelevant chunk	equivalence(F2-12),generated-types-interface(F2-02),coverage-preservation(F2-11)
